,index,ww_value,vir_value
0,2021-10-01,15869.0,520
1,2021-10-02,15865.0,549
2,2021-10-03,9005.0,577
3,2021-10-04,8958.0,627
4,2021-10-05,8959.0,658
5,2021-10-06,10448.0,632
6,2021-10-07,10448.0,634
7,2021-10-08,11007.0,619
8,2021-10-09,11003.0,613
9,2021-10-10,10956.0,606
10,2021-10-11,10919.0,685
11,2021-10-12,10919.0,760
12,2021-10-13,8935.0,752
13,2021-10-14,8936.0,730
14,2021-10-15,8492.0,752
15,2021-10-16,8504.0,743
16,2021-10-17,7350.0,828
17,2021-10-18,7637.0,896
18,2021-10-19,7628.0,894
19,2021-10-20,6490.0,903
20,2021-10-21,6534.0,799
21,2021-10-22,5705.0,760
22,2021-10-23,5714.0,756
23,2021-10-24,7859.0,829
24,2021-10-25,12727.0,865
25,2021-10-26,12737.0,911
26,2021-10-27,16630.0,955
27,2021-10-28,16589.0,888
28,2021-10-29,19544.0,840
29,2021-10-30,19557.0,741
30,2021-10-31,16020.0,860
31,2021-11-01,11363.0,899
32,2021-11-02,11361.0,891
33,2021-11-03,8906.0,807
34,2021-11-04,8910.0,717
35,2021-11-05,9869.0,686
36,2021-11-06,9878.0,688
37,2021-11-07,13524.0,739
38,2021-11-08,21197.0,850
39,2021-11-09,21193.0,808
40,2021-11-10,26026.0,821
41,2021-11-11,26029.0,797
42,2021-11-12,26643.0,729
43,2021-11-13,26636.0,655
44,2021-11-14,23712.0,678
45,2021-11-15,17060.0,695
46,2021-11-16,17056.0,713
47,2021-11-17,12804.0,727
48,2021-11-18,12802.0,697
49,2021-11-19,12096.0,637
50,2021-11-20,12095.0,611
51,2021-11-21,11235.0,648
52,2021-11-22,11523.0,602
53,2021-11-23,11532.0,659
54,2021-11-24,10897.0,752
55,2021-11-25,10897.0,650
56,2021-11-26,10119.0,620
57,2021-11-27,10118.0,609
58,2021-11-28,9773.0,607
59,2021-11-29,9300.0,669
60,2021-11-30,9283.0,699
61,2021-12-01,9650.0,698
62,2021-12-02,9652.0,719
63,2021-12-03,11701.0,624
64,2021-12-04,11705.0,635
65,2021-12-05,11439.0,728
66,2021-12-06,11527.0,736
67,2021-12-07,11538.0,799
68,2021-12-08,16851.0,754
69,2021-12-09,17025.0,799
70,2021-12-10,18995.0,707
71,2021-12-11,18995.0,696
72,2021-12-12,26217.0,772
73,2021-12-13,31406.0,794
74,2021-12-14,31391.0,815
75,2021-12-15,30899.0,805
76,2021-12-16,30763.0,777
77,2021-12-17,31543.0,743
78,2021-12-18,31537.0,735
79,2021-12-19,29920.0,926
80,2021-12-20,28185.0,1061
81,2021-12-29,45213.0,2370
82,2021-12-30,45213.0,2114
83,2021-12-31,46678.0,1781
84,2022-01-01,46678.0,1819
85,2022-01-02,45065.0,1881
86,2022-01-03,44809.0,2219
87,2022-01-04,44522.0,2101
88,2022-01-05,42259.0,2139
89,2022-01-06,42237.0,2043
90,2022-01-07,40271.0,1772
91,2022-01-08,40233.0,1862
92,2022-01-09,33826.0,1975
93,2022-01-10,31518.0,2180
94,2022-01-11,31415.0,2127
95,2022-01-12,22814.0,1955
96,2022-01-13,22808.0,1916
97,2022-01-14,18151.0,1692
98,2022-01-15,18093.0,1604
99,2022-01-16,17636.0,1768
100,2022-01-17,16997.0,1808
101,2022-01-18,16987.0,1794
102,2022-01-19,15251.0,1778
103,2022-01-20,15251.0,1698
104,2022-01-21,15621.0,1453
105,2022-01-22,15619.0,1277
106,2022-01-23,15278.0,1535
107,2022-01-24,13737.0,1593
108,2022-01-25,13738.0,1681
109,2022-01-26,15492.0,1689
110,2022-01-27,15491.0,1503
111,2022-01-28,18008.0,1342
112,2022-01-29,18017.0,1325
113,2022-01-30,18766.0,1285
114,2022-01-31,19143.0,1451
115,2022-02-01,19143.0,1537
116,2022-02-02,16197.0,1451
117,2022-02-03,16195.0,1292
118,2022-02-04,13983.0,1186
119,2022-02-05,13976.0,1077
120,2022-02-06,13102.0,1211
121,2022-02-07,12813.0,1234
